BODEGA (COMERCIAL/INDUSTRIAL),CODIGO,LOTE,PRECIO1,PRECIO2,IVA(12/0/EX/NO)
COMERCIAL,7861028802235.3690.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3939.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3940.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3941.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3942.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3943.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3945.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.3948.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.4106.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802235.4107.0000,COBERTOR SATEEN DREAM ORIGINAL 3-KING,107.1339,0,0
COMERCIAL,7861028802303.3399.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3403.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3423.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3427.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3431.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3435.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3439.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3661.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3667.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802303.3695.0000,COBERTOR VELVET DREAM-3 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802310.3400.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3424.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3428.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3432.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3436.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3440.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3662.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802310.3668.0000,COBERTOR VELVET DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802327.3425.0000,COBERTOR VELVET DREAM-3 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802327.3441.0000,COBERTOR VELVET DREAM-3 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802327.3668.0000,COBERTOR VELVET DREAM-3 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802334.3032.0000,COBERTOR VELVET DREAM-3 3-KING,133.9196,0,0
COMERCIAL,7861028802334.3426.0000,COBERTOR VELVET DREAM-3 3-KING,133.9196,0,0
COMERCIAL,7861028802334.3430.0000,COBERTOR VELVET DREAM-3 3-KING,133.9196,0,0
COMERCIAL,7861028802334.3438.0000,COBERTOR VELVET DREAM-3 3-KING,133.9196,0,0
COMERCIAL,7861028802334.3664.0000,COBERTOR VELVET DREAM-3 3-KING,133.9196,0,0
COMERCIAL,7861028802334.3670.0000,COBERTOR VELVET DREAM-3 3-KING,133.9196,0,0
COMERCIAL,7861028802501.1734.1687,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802501.3673.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802501.3677.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802501.3681.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802501.3685.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802501.3695.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
